"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"XXII","22nd Century Group, Inc","0.84","$63.85M","n/a","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/xxii",
"FAX","Aberdeen Asia-Pacific Income Fund Inc","5.03","$1.34B","1986","n/a","n/a","http://www.nasdaq.com/symbol/fax",
"IAF","Aberdeen Australia Equity Fund Inc","5.75","$131.53M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/iaf",
"CH","Aberdeen Chile Fund, Inc.","6.24","$58.57M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ch",
"ABE           ","Aberdeen Emerging Markets Smaller Company Opportunities Fund I","12.12","$117.99M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/abe",
"FCO","Aberdeen Global Income Fund, Inc.","8.57","$75.8M","1992","n/a","n/a","http://www.nasdaq.com/symbol/fco",
"IF","Aberdeen Indonesia Fund, Inc.","6.29","$59.51M","1990","n/a","n/a","http://www.nasdaq.com/symbol/if",
"ISL","Aberdeen Israel Fund, Inc.","17.35","$69.99M","1992","n/a","n/a","http://www.nasdaq.com/symbol/isl",
"ACU","Acme United Corporation.","16.9531","$56.5M","1988","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/acu",
"AIII","ACRE Realty Investors, Inc.","1.5","$30.17M","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/aiii",
"ATNM","Actinium Pharmaceuticals, Inc.","2.01","$89.23M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/atnm",
"AE","Adams Resources & Energy, Inc.","37.2","$156.89M","n/a","Energy","Oil Refining/Marketing","http://www.nasdaq.com/symbol/ae",
"ADK","Adcare Health Systems Inc","2.12","$42.29M","n/a","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/adk",
"ADK^A","Adcare Health Systems Inc","21.15","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/adk^a",
"ACY","AeroCentury Corp.","10.852","$17M","n/a","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/acy",
"WGA","AG&E Holdings, Inc.","0.37","$4.31M","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/wga",
"AIRI","Air Industries Group","5.99","$45.28M","n/a","Capital Goods","Military/Government/Technical","http://www.nasdaq.com/symbol/airi",
"AA^","Alcoa Inc.","88.0001","n/a","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/aa^",
"AXU","Alexco Resource Corp","1.1","$85.13M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/axu",
"AAU","Almaden Minerals, Ltd.","1.1","$85.87M","2015","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/aau",
"APT","Alpha Pro Tech, Ltd.","1.94","$34.63M","n/a","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/apt",
"AAMC","Altisource Asset Management Corp","15.53","$30.6M","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/aamc",
"DIT","AMCON Distributing Company","84.4515","$51.01M","n/a","Consumer Non-Durables","Food Distributors","http://www.nasdaq.com/symbol/dit",
"ADGE","American DG Energy Inc.","0.281","$14.24M","n/a","Public Utilities","Power Generation","http://www.nasdaq.com/symbol/adge",
"AFCO","American Farmland Company","6.95","$117.61M","2015","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/afco",
"ALN","American Lorain Corporation","1.17","$44.76M","n/a","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/aln",
"AMS","American Shared Hospital Services","2.2","$11.8M","n/a","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/ams",
"AMPE","Ampio Pharmaceuticals, Inc.","3.97","$206.51M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ampe",
"APHB","AmpliPhi Biosciences Corporation","3.16","$18.59M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/aphb",
"AXN","Aoxing Pharmaceutical Company, Inc.","0.73","$55.63M","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/axn",
"AMCO","Armco Metals Holdings, Inc.","0.25","$2.04M","n/a","Consumer Durables","Steel/Iron Ore","http://www.nasdaq.com/symbol/amco",
"HRT","Arrhythmia Research Technology Inc.","4.1","$11.55M","n/a","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/hrt",
"AKG","Asanko Gold Inc.","2.57","$506.28M","n/a","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","http://www.nasdaq.com/symbol/akg",
"AINC","Ashford Inc.","45.5","$91.48M","2014","Consumer Services","Professional Services","http://www.nasdaq.com/symbol/ainc",
"ASB.WS","Associated Banc-Corp","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/asb.ws",
"AST","Asterias Biotherapeutics, Inc.","4.34","$166.45M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/ast",
"AST.WS$","Asterias Biotherapeutics, Inc.","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ast.ws$",
"AWX","Avalon Holdings Corporation","1.9599","$7.45M","n/a","Public Utilities","Environmental Services","http://www.nasdaq.com/symbol/awx",
"ASM","Avino Silver","1.39","$53.5M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/asm",
"BTG","B2Gold Corp","1.92","$1.78B","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/btg",
"BTN","Ballantyne Strong, Inc","4.61","$65.5M","n/a","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/btn",
"BKJ","Bancorp of New Jersey, Inc","11.3","$70.51M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bkj",
"BCV","Bancroft Fund Limited","18.291","$93.41M","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bcv",
"BAA","BANRO CORPORATION","0.3269","$98.77M","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/baa",
"BHB","Bar Harbor Bankshares, Inc.","33.28","$200M","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bhb",
"BRN","Barnwell Industries, Inc.","1.56","$12.91M","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/brn",
"BGSF","BG Staffing Inc","14.45","$106.76M","n/a","Technology","Professional Services","http://www.nasdaq.com/symbol/bgsf",
"BPMX","BioPharmX Corporation","0.9275","$19.56M","2015","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/bpmx",
"BTX","BioTime, Inc.","3.05","$289.43M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/btx",
"BTX.WS","BioTime, Inc.","n/a","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/btx.ws",
"BGI","Birks Group Inc.","0.478","$8.59M","n/a","Consumer Services","Consumer Specialties","http://www.nasdaq.com/symbol/bgi",
"BZM","BlackRock Maryland Municipal Bond Trust","15.7199","$32.65M","2002","n/a","n/a","http://www.nasdaq.com/symbol/bzm",
"MHE","BlackRock Massachusetts Tax-Exempt Trust","14.75","$34.9M","1993","n/a","n/a","http://www.nasdaq.com/symbol/mhe",
"BLE","BlackRock Municipal Income Trust II","16.17","$379.52M","2002","n/a","n/a","http://www.nasdaq.com/symbol/ble",
